"","Theatre","Show","Type","Date","Year","Month","Avg_Attendance","Avg_Gross","Avg_Capacity"
"159","Minskoff","Saturday Night Fever","Musical","2/6/00",2000,2,10119,575868,75
"160","St. James","Swing!","Musical","2/6/00",2000,2,7864,356321,57
"161","New Amsterdam","The Lion King","Musical","2/6/00",2000,2,14519,937552,101
"162","Majestic","The Phantom Of The Opera","Musical","2/6/00",2000,2,10398,551417,81
"163","Royale","The Price 99","Play","2/6/00",2000,2,5472,181639,63
"164","Walter Kerr","Waiting In The Wings","Play","2/6/00",2000,2,4023,222878,53
"165","Eugene O'Neill","Wrong Mountain","Play","2/6/00",2000,2,3763,108741,43
"166","Music Box","Amadeus","Play","2/13/00",2000,2,5623,246998,71
"167","Marquis","Annie Get Your Gun","Musical","2/13/00",2000,2,8941,483060,70
"168","Lunt-Fontanne","Beauty And The Beast","Musical","2/13/00",2000,2,9911,512638,84
"169","Studio 54 ('98)","Cabaret 98","Musical","2/13/00",2000,2,6287,405012,85
"170","Winter Garden","Cats","Musical","2/13/00",2000,2,5869,275627,50
"171","Shubert","Chicago","Musical","2/13/00",2000,2,9725,598814,83
"172","Booth","Dame Edna: The Royal Tour","Play","2/13/00",2000,2,4431,240515,72
"173","Richard Rodgers","Footloose","Musical","2/13/00",2000,2,8316,344695,77
"174","Broadhurst","Fosse","Musical","2/13/00",2000,2,6606,453398,72
"175","Golden","Jackie Mason: Much Ado About Everything","Play","2/13/00",2000,2,3301,168507,95
"176","Belasco","James Joyce'S The Dead","Musical","2/13/00",2000,2,6056,306659,76
"177","Plymouth","Jekyll & Hyde","Musical","2/13/00",2000,2,6575,359846,77
"178","Martin Beck","Kiss Me, Kate","Musical","2/13/00",2000,2,9191,611010,81
"179","Imperial","Les Miserables","Musical","2/13/00",2000,2,8315,416994,73
"180","Broadway","Miss Saigon","Musical","2/13/00",2000,2,7905,367487,57
"181","Ethel Barrymore","Putting It Together","Musical","2/13/00",2000,2,5166,273543,59
"182","Nederlander","Rent","Musical","2/13/00",2000,2,8146,449687,86
"183","Minskoff","Saturday Night Fever","Musical","2/13/00",2000,2,10419,631742,77
"184","Helen Hayes","Squonk","Musical","2/13/00",2000,2,2323,64369,50
"185","St. James","Swing!","Musical","2/13/00",2000,2,8334,406085,61
"186","New Amsterdam","The Lion King","Musical","2/13/00",2000,2,14523,938336,101
"187","Majestic","The Phantom Of The Opera","Musical","2/13/00",2000,2,10930,604790,85
"188","Royale","The Price 99","Play","2/13/00",2000,2,5945,195402,69
"189","Walter Kerr","Waiting In The Wings","Play","2/13/00",2000,2,5382,257482,71
"190","Music Box","Amadeus","Play","2/20/00",2000,2,5507,258861,69
"191","Marquis","Annie Get Your Gun","Musical","2/20/00",2000,2,10367,570005,81
"192","Lunt-Fontanne","Beauty And The Beast","Musical","2/20/00",2000,2,11091,574884,94
"193","Studio 54 ('98)","Cabaret 98","Musical","2/20/00",2000,2,6947,452742,94
"194","Winter Garden","Cats","Musical","2/20/00",2000,2,7226,338490,61
"195","Shubert","Chicago","Musical","2/20/00",2000,2,10895,668813,93
"196","Booth","Dame Edna: The Royal Tour","Play","2/20/00",2000,2,5066,251162,83
"197","Richard Rodgers","Footloose","Musical","2/20/00",2000,2,8046,393873,75
"198","Broadhurst","Fosse","Musical","2/20/00",2000,2,7488,508321,82
"199","Golden","Jackie Mason: Much Ado About Everything","Play","2/20/00",2000,2,3356,171650,97
"200","Belasco","James Joyce'S The Dead","Musical","2/20/00",2000,2,6432,315500,81
