,Year,Month,Week,Total Weekly Gross,Show Title,Theatre,Avg. Ticket Price,Seats Sold,Seats in Theatre
16457,2000,January,32,694749.0,Saturday Night Fever,Minskoff Theatre,61.89,11225,1686
16458,2000,January,32,264059.0,Smokey Joe's Cafe,Virginia Theatre,51.16,5161,1212
16459,2000,January,32,344465.0,Swing!,St. James Theatre,40.06,8598,1710
16460,2000,January,32,324315.0,Tango Argentino,Gershwin Theatre,35.92,9030,1933
16461,2000,January,32,927843.0,The Lion King,Minskoff Theatre,63.95,14508,1793
16462,2000,January,32,614725.0,The Phantom of the Opera,Majestic Theatre,62.82,9785,1607
16463,2000,January,32,159494.0,The Price,Royale Theatre,36.2,4406,1078
16464,2000,January,32,249475.0,The Rainmaker,Brooks Atkinson Theatre,39.27,6353,998
16465,2000,January,32,272115.0,Waiting in the Wings,Eugene O'Neill Theatre,61.75,4407,947
16466,2000,January,32,65893.0,Wrong Mountain,Eugene O'Neill Theatre,24.16,2727,1105
16467,2000,January,33,289351.0,Amadeus,Music Box Theatre,45.06,6422,993
16468,2000,January,33,507967.0,Annie Get Your Gun,Marquis Theatre,58.81,8637,1595
16469,2000,January,33,542212.0,Beauty and the Beast,Lunt-Fontanne Theatre,53.3,10172,1474
16470,2000,January,33,440265.0,Cabaret,Studio 54,63.67,6915,920
16471,2000,January,33,310988.0,Cats,Winter Garden Theatre,42.44,7328,1482
16472,2000,January,33,510398.0,Chicago,Ambassador Theatre,62.55,8160,1460
16473,2000,January,33,263583.0,Dame Edna: The Royal Tour,Booth Theatre,57.16,4611,765
16474,2000,January,33,378301.0,Footloose,Richard Rodgers Theatre,40.12,9430,1348
16475,2000,January,33,534714.0,Fosse,Broadhurst Theatre,69.14,7734,1141
16476,2000,January,33,286756.0,James Joyce's The Dead,Belasco Theatre,51.43,5576,996
16477,2000,January,33,373556.0,Jekyll & Hyde,Plymouth Theatre,53.25,7015,1064
16478,2000,January,33,650388.0,"Kiss Me, Kate",Martin Beck Theatre,68.12,9548,1422
16479,2000,January,33,458927.0,Les Miserables,Imperial Theatre,47.71,9619,1417
16480,2000,January,33,379091.0,Miss Saigon,Broadway Theatre,43.64,8686,1743
16481,2000,January,33,169280.0,Much Ado About Everything,John Golden Theatre,48.97,3457,578
16482,2000,January,33,334657.0,Putting It Together,Ethel Barrymore Theatre,56.27,5947,1096
16483,2000,January,33,661156.0,Ragtime,Ford Center for the Performing Arts,52.71,12544,1812
16484,2000,January,33,486611.0,Rent,Nederlander Theatre,56.14,8668,1181
16485,2000,January,33,724948.0,Saturday Night Fever,Minskoff Theatre,62.71,11560,1686
16486,2000,January,33,352715.0,Smokey Joe's Cafe,Virginia Theatre,56.79,6211,1212
16487,2000,January,33,394888.0,Swing!,St. James Theatre,42.24,9348,1710
16488,2000,January,33,929752.0,The Lion King,Minskoff Theatre,64.06,14513,1793
16489,2000,January,33,548217.0,The Phantom of the Opera,Majestic Theatre,55.84,9817,1607
16490,2000,January,33,185960.0,The Price,Royale Theatre,31.4,5922,1078
16491,2000,January,33,260783.0,The Rainmaker,Brooks Atkinson Theatre,38.53,6769,998
16492,2000,January,33,330665.0,Waiting in the Wings,Eugene O'Neill Theatre,58.14,5687,947
16493,2000,January,33,61051.0,Wrong Mountain,Eugene O'Neill Theatre,26.17,2333,1105
16494,2000,January,34,242330.0,Amadeus,Music Box Theatre,42.56,5694,993
16495,2000,January,34,499154.0,Annie Get Your Gun,Marquis Theatre,54.51,9157,1595
16496,2000,January,34,436007.0,Beauty and the Beast,Lunt-Fontanne Theatre,49.7,8773,1474
16497,2000,January,34,427242.0,Cabaret,Studio 54,64.64,6610,920
16498,2000,January,34,244369.0,Cats,Winter Garden Theatre,43.6,5605,1482
16499,2000,January,34,511264.0,Chicago,Ambassador Theatre,62.11,8232,1460
16500,2000,January,34,255988.0,Dame Edna: The Royal Tour,Booth Theatre,61.95,4132,765
16501,2000,January,34,330486.0,Footloose,Richard Rodgers Theatre,37.74,8756,1348
16502,2000,January,34,474345.0,Fosse,Broadhurst Theatre,69.44,6831,1141
16503,2000,January,34,278292.0,James Joyce's The Dead,Belasco Theatre,52.32,5319,996
16504,2000,January,34,321139.0,Jekyll & Hyde,Plymouth Theatre,54.17,5928,1064
16505,2000,January,34,612725.0,"Kiss Me, Kate",Martin Beck Theatre,68.71,8917,1422
16506,2000,January,34,369924.0,Les Miserables,Imperial Theatre,46.23,8002,1417
16507,2000,January,34,309633.0,Miss Saigon,Broadway Theatre,43.35,7142,1743
16508,2000,January,34,166912.0,Much Ado About Everything,John Golden Theatre,50.69,3293,578
16509,2000,January,34,317726.0,Putting It Together,Ethel Barrymore Theatre,53.11,5982,1096
16510,2000,January,34,436514.0,Rent,Nederlander Theatre,54.58,7998,1181
16511,2000,January,34,619656.0,Saturday Night Fever,Minskoff Theatre,63.26,9795,1686
16512,2000,January,34,357520.0,Swing!,St. James Theatre,45.47,7862,1710
16513,2000,January,34,930450.0,The Lion King,Minskoff Theatre,64.13,14509,1793
16514,2000,January,34,523618.0,The Phantom of the Opera,Majestic Theatre,52.91,9896,1607
16515,2000,January,34,177566.0,The Price,Royale Theatre,31.16,5699,1078
16516,2000,January,34,232976.0,The Rainmaker,Brooks Atkinson Theatre,37.5,6213,998
16517,2000,January,34,290326.0,Waiting in the Wings,Eugene O'Neill Theatre,60.51,4798,947
16518,2000,January,34,65195.0,Wrong Mountain,Eugene O'Neill Theatre,28.94,2253,1105
16519,2000,January,35,223503.0,Amadeus,Music Box Theatre,42.87,5213,993
16520,2000,January,35,506566.0,Annie Get Your Gun,Marquis Theatre,50.64,10004,1595
16521,2000,January,35,403743.0,Beauty and the Beast,Lunt-Fontanne Theatre,46.99,8593,1474
16522,2000,January,35,427209.0,Cabaret,Studio 54,66.12,6461,920
16523,2000,January,35,229414.0,Cats,Winter Garden Theatre,41.94,5470,1482
16524,2000,January,35,537808.0,Chicago,Ambassador Theatre,59.82,8990,1460
16525,2000,January,35,242337.0,Dame Edna: The Royal Tour,Booth Theatre,56.61,4281,765
16526,2000,January,35,324326.0,Footloose,Richard Rodgers Theatre,37.8,8581,1348
16527,2000,January,35,445935.0,Fosse,Broadhurst Theatre,69.4,6426,1141
16528,2000,January,35,275615.0,James Joyce's The Dead,Belasco Theatre,51.53,5349,996
16529,2000,January,35,328970.0,Jekyll & Hyde,Plymouth Theatre,51.49,6389,1064
16530,2000,January,35,620732.0,"Kiss Me, Kate",Martin Beck Theatre,64.3,9654,1422
16531,2000,January,35,360060.0,Les Miserables,Imperial Theatre,45.08,7987,1417
16532,2000,January,35,302842.0,Miss Saigon,Broadway Theatre,45.44,6664,1743
16533,2000,January,35,161269.0,Much Ado About Everything,John Golden Theatre,51.0,3162,578
16534,2000,January,35,302522.0,Putting It Together,Ethel Barrymore Theatre,55.98,5404,1096
16535,2000,January,35,389344.0,Rent,Nederlander Theatre,51.03,7630,1181
16536,2000,January,35,573872.0,Saturday Night Fever,Minskoff Theatre,55.06,10422,1686
16537,2000,January,35,352163.0,Swing!,St. James Theatre,43.14,8164,1710
16538,2000,January,35,931178.0,The Lion King,Minskoff Theatre,64.13,14520,1793
16539,2000,January,35,552114.0,The Phantom of the Opera,Majestic Theatre,51.1,10804,1607
16540,2000,January,35,171850.0,The Price,Royale Theatre,33.96,5060,1078
16541,2000,January,35,231819.0,Waiting in the Wings,Eugene O'Neill Theatre,58.97,3931,947
16542,2000,January,35,72562.0,Wrong Mountain,Eugene O'Neill Theatre,28.22,2571,1105
16543,2000,February,36,210025.0,Amadeus,Music Box Theatre,43.33,4847,993
16544,2000,February,36,471339.0,Annie Get Your Gun,Marquis Theatre,50.86,9267,1595
16545,2000,February,36,426611.0,Beauty and the Beast,Lunt-Fontanne Theatre,49.15,8679,1474
16546,2000,February,36,423816.0,Cabaret,Studio 54,65.82,6439,920
16547,2000,February,36,236115.0,Cats,Winter Garden Theatre,42.68,5532,1482
16548,2000,February,36,537371.0,Chicago,Ambassador Theatre,60.32,8909,1460
16549,2000,February,36,220746.0,Dame Edna: The Royal Tour,Booth Theatre,53.03,4163,765
16550,2000,February,36,306914.0,Footloose,Richard Rodgers Theatre,39.08,7854,1348
16551,2000,February,36,418778.0,Fosse,Broadhurst Theatre,67.91,6167,1141
16552,2000,February,36,288094.0,James Joyce's The Dead,Belasco Theatre,51.16,5631,996
